ENHG Lemma,MHG Candidates,Link
bringen,brèngen,https://www.dwds.de/wb/etymwb/bringen
ansehen,schëhen,https://www.dwds.de/wb/etymwb/ansehen
stehen,stân,https://www.dwds.de/wb/etymwb/stehen
geben,gëben,https://www.dwds.de/wb/etymwb/geben
thun,,https://www.dwds.de/wb/etymwb/thun
liegen,ligen; liègen,https://www.dwds.de/wb/etymwb/liegen
fahen,,https://www.dwds.de/wb/etymwb/fahen
aufschlieszen,,https://www.dwds.de/wb/etymwb/aufschlieszen
sprechen,sprëchen,https://www.dwds.de/wb/etymwb/sprechen
tragen,tragen,https://www.dwds.de/wb/etymwb/tragen
verdrieszen,,https://www.dwds.de/wb/etymwb/verdrieszen
fliehen,vlièhen,https://www.dwds.de/wb/etymwb/fliehen
dringen,dringen,https://www.dwds.de/wb/etymwb/dringen
behalten,halten,https://www.dwds.de/wb/etymwb/behalten
beschaffen,schaffen,https://www.dwds.de/wb/etymwb/beschaffen
setzen,sîten,https://www.dwds.de/wb/etymwb/setzen
gleichen,glîchen,https://www.dwds.de/wb/etymwb/gleichen
gesenden,,https://www.dwds.de/wb/etymwb/gesenden
nehmen,nëmen,https://www.dwds.de/wb/etymwb/nehmen
auf|abwachsen,,https://www.dwds.de/wb/etymwb/auf|abwachsen
heiszen,,https://www.dwds.de/wb/etymwb/heiszen
gehen,gân,https://www.dwds.de/wb/etymwb/gehen
kommen,komen,https://www.dwds.de/wb/etymwb/kommen
begreifen,grîfen,https://www.dwds.de/wb/etymwb/begreifen
sehen,sËhen,https://www.dwds.de/wb/etymwb/sehen
sagen,sachen,https://www.dwds.de/wb/etymwb/sagen
machen,mêchen,https://www.dwds.de/wb/etymwb/machen
halten,halten,https://www.dwds.de/wb/etymwb/halten
zugefahen,,https://www.dwds.de/wb/etymwb/zugefahen
beschlieszen,,https://www.dwds.de/wb/etymwb/beschlieszen
verlieren,vliègen; vlièzen,https://www.dwds.de/wb/etymwb/verlieren
schlagen,slahen,https://www.dwds.de/wb/etymwb/schlagen
ziehen,zîhen,https://www.dwds.de/wb/etymwb/ziehen
zwagen,wahen; wâzen,https://www.dwds.de/wb/etymwb/zwagen
finden,vinden,https://www.dwds.de/wb/etymwb/finden
sitzen,"[""sitzen""; ""sièden""",https://www.dwds.de/wb/etymwb/sitzen
schreiben,schrîben,https://www.dwds.de/wb/etymwb/schreiben
essen,ëzzen,https://www.dwds.de/wb/etymwb/essen
unterscheiden,schîden,https://www.dwds.de/wb/etymwb/unterscheiden
flieszen,,https://www.dwds.de/wb/etymwb/flieszen
empfinden,enphallen,https://www.dwds.de/wb/etymwb/empfinden
zerbrechen,,https://www.dwds.de/wb/etymwb/zerbrechen
brechen,brëchen,https://www.dwds.de/wb/etymwb/brechen
umfangen,,https://www.dwds.de/wb/etymwb/umfangen
schlafen,slâfen,https://www.dwds.de/wb/etymwb/schlafen
wachsen,wahsen; wâzen,https://www.dwds.de/wb/etymwb/wachsen
ausreiszen,,https://www.dwds.de/wb/etymwb/ausreiszen
beleiben,,https://www.dwds.de/wb/etymwb/beleiben
auswachsen,,https://www.dwds.de/wb/etymwb/auswachsen
verstehen,stân,https://www.dwds.de/wb/etymwb/verstehen
betrüben,drôen; trëchen,https://www.dwds.de/wb/etymwb/betrüben
inziehen,,https://www.dwds.de/wb/etymwb/inziehen
ausgehen,gân,https://www.dwds.de/wb/etymwb/ausgehen
fallen,vallen,https://www.dwds.de/wb/etymwb/fallen
gerennen,,https://www.dwds.de/wb/etymwb/gerennen
arbeiten,binten,https://www.dwds.de/wb/etymwb/arbeiten
klimmen,klimmen,https://www.dwds.de/wb/etymwb/klimmen
sterben,stërben,https://www.dwds.de/wb/etymwb/sterben
gesehen,,https://www.dwds.de/wb/etymwb/gesehen
werfen,wërfen,https://www.dwds.de/wb/etymwb/werfen
bedürfen,durfen,https://www.dwds.de/wb/etymwb/bedürfen
geschehen,schëhen; schînen,https://www.dwds.de/wb/etymwb/geschehen
entschlieszen,,https://www.dwds.de/wb/etymwb/entschlieszen
fahren,varen,https://www.dwds.de/wb/etymwb/fahren
stoszen,,https://www.dwds.de/wb/etymwb/stoszen
entspringen,springen,https://www.dwds.de/wb/etymwb/entspringen
aufgehen,gân,https://www.dwds.de/wb/etymwb/aufgehen
wissen,wîsen,https://www.dwds.de/wb/etymwb/wissen
verderben,dërben,https://www.dwds.de/wb/etymwb/verderben
berauben,,https://www.dwds.de/wb/etymwb/berauben
reiszen,,https://www.dwds.de/wb/etymwb/reiszen
verlassen,lîzen,https://www.dwds.de/wb/etymwb/verlassen
gewinnen,winnen,https://www.dwds.de/wb/etymwb/gewinnen
verschlinden,,https://www.dwds.de/wb/etymwb/verschlinden
verhauen,houwen,https://www.dwds.de/wb/etymwb/verhauen
trinken,trinken,https://www.dwds.de/wb/etymwb/trinken
erkennen,knëten,https://www.dwds.de/wb/etymwb/erkennen
gereden,,https://www.dwds.de/wb/etymwb/gereden
führen,vrièsen,https://www.dwds.de/wb/etymwb/führen
gewachsen,,https://www.dwds.de/wb/etymwb/gewachsen
aufheben,,https://www.dwds.de/wb/etymwb/aufheben
laufen,"[""loufen""",https://www.dwds.de/wb/etymwb/laufen
schreien,schrîen; schrîten,https://www.dwds.de/wb/etymwb/schreien
geschwellen,,https://www.dwds.de/wb/etymwb/geschwellen
verbieten,biten,https://www.dwds.de/wb/etymwb/verbieten
verschneiden,snîden; schîden,https://www.dwds.de/wb/etymwb/verschneiden
schicken,schièzen,https://www.dwds.de/wb/etymwb/schicken
aus|eintragen,,https://www.dwds.de/wb/etymwb/aus|eintragen
auskommen,komen; kîmen,https://www.dwds.de/wb/etymwb/auskommen
bleiben,lîben,https://www.dwds.de/wb/etymwb/bleiben
behüten,vëhten,https://www.dwds.de/wb/etymwb/behüten
scheinen,schînen,https://www.dwds.de/wb/etymwb/scheinen
steigen,stîgen,https://www.dwds.de/wb/etymwb/steigen
aufhalten,,https://www.dwds.de/wb/etymwb/aufhalten
hangen,,https://www.dwds.de/wb/etymwb/hangen
geziehen,,https://www.dwds.de/wb/etymwb/geziehen
geleiden,,https://www.dwds.de/wb/etymwb/geleiden
leiden,lîden,https://www.dwds.de/wb/etymwb/leiden
abschneiden,snîden,https://www.dwds.de/wb/etymwb/abschneiden
fliegen,vliègen,https://www.dwds.de/wb/etymwb/fliegen
gesterben,,https://www.dwds.de/wb/etymwb/gesterben
verzehren,zîhen,https://www.dwds.de/wb/etymwb/verzehren
binden,binden,https://www.dwds.de/wb/etymwb/binden
beginnen,ginnen,https://www.dwds.de/wb/etymwb/beginnen
zerflieszen,,https://www.dwds.de/wb/etymwb/zerflieszen
anstehen,,https://www.dwds.de/wb/etymwb/anstehen
genesen,gëzen; ginnen,https://www.dwds.de/wb/etymwb/genesen
erfüllen,,https://www.dwds.de/wb/etymwb/erfüllen
verkommen,kîmen,https://www.dwds.de/wb/etymwb/verkommen
brennen,brinnen,https://www.dwds.de/wb/etymwb/brennen
reden,rëden,https://www.dwds.de/wb/etymwb/reden
lassen,lâzen,https://www.dwds.de/wb/etymwb/lassen
leben,lîben,https://www.dwds.de/wb/etymwb/leben
erziehen,zièhen,https://www.dwds.de/wb/etymwb/erziehen
auswerfen,wërfen,https://www.dwds.de/wb/etymwb/auswerfen
entfliehen,enphallen; enphâhen,https://www.dwds.de/wb/etymwb/entfliehen
entschlingen,,https://www.dwds.de/wb/etymwb/entschlingen
zwingen,twingen; dwingen,https://www.dwds.de/wb/etymwb/zwingen
bekennen,kînen,https://www.dwds.de/wb/etymwb/bekennen
einziehen,,https://www.dwds.de/wb/etymwb/einziehen
gewerfen,,https://www.dwds.de/wb/etymwb/gewerfen
laden,laden,https://www.dwds.de/wb/etymwb/laden
erleiden,lîden,https://www.dwds.de/wb/etymwb/erleiden
entweichen,wîchen,https://www.dwds.de/wb/etymwb/entweichen
abreiszen,,https://www.dwds.de/wb/etymwb/abreiszen
schwimmen,swimmen,https://www.dwds.de/wb/etymwb/schwimmen
fressen,vrèischen,https://www.dwds.de/wb/etymwb/fressen
gefallen,vallen,https://www.dwds.de/wb/etymwb/gefallen
angreifen,grîfen,https://www.dwds.de/wb/etymwb/angreifen
bitten,biten; bitten,https://www.dwds.de/wb/etymwb/bitten
austragen,,https://www.dwds.de/wb/etymwb/austragen
fangen,vâhen,https://www.dwds.de/wb/etymwb/fangen
begraben,graben,https://www.dwds.de/wb/etymwb/begraben
gehören,,https://www.dwds.de/wb/etymwb/gehören
fechten,vëhten,https://www.dwds.de/wb/etymwb/fechten
treiben,trîben,https://www.dwds.de/wb/etymwb/treiben
überwinden,,https://www.dwds.de/wb/etymwb/überwinden
durchgraben,,https://www.dwds.de/wb/etymwb/durchgraben
übereintragen,,https://www.dwds.de/wb/etymwb/übereintragen
springen,springen,https://www.dwds.de/wb/etymwb/springen
geleichen,,https://www.dwds.de/wb/etymwb/geleichen
erscheinen,schînen,https://www.dwds.de/wb/etymwb/erscheinen
singen,singen,https://www.dwds.de/wb/etymwb/singen
entschlafen,slâfen; slâhen,https://www.dwds.de/wb/etymwb/entschlafen
zerreiszen,,https://www.dwds.de/wb/etymwb/zerreiszen
vertreiben,trîben,https://www.dwds.de/wb/etymwb/vertreiben
verschwinden,swînen,https://www.dwds.de/wb/etymwb/verschwinden
gebären,bërgen,https://www.dwds.de/wb/etymwb/gebären
ruhen,ruofen,https://www.dwds.de/wb/etymwb/ruhen
hin|herschwimmen,,https://www.dwds.de/wb/etymwb/hin|herschwimmen
hinkommen,,https://www.dwds.de/wb/etymwb/hinkommen
stechen,stëchen; stëcken,https://www.dwds.de/wb/etymwb/stechen
befinden,binten,https://www.dwds.de/wb/etymwb/befinden
erheben,hëben,https://www.dwds.de/wb/etymwb/erheben
gesprechen,,https://www.dwds.de/wb/etymwb/gesprechen
erlöschen,lëschen,https://www.dwds.de/wb/etymwb/erlöschen
benehmen,nĕmen,https://www.dwds.de/wb/etymwb/benehmen
antworten,,https://www.dwds.de/wb/etymwb/antworten
gebrechen,brëchen,https://www.dwds.de/wb/etymwb/gebrechen
vollbringen,,https://www.dwds.de/wb/etymwb/vollbringen
enfliehen,,https://www.dwds.de/wb/etymwb/enfliehen
streiten,"[""strîten""",https://www.dwds.de/wb/etymwb/streiten
begehren,bêrgen,https://www.dwds.de/wb/etymwb/begehren
besitzen,s i t z e n,https://www.dwds.de/wb/etymwb/besitzen
eingefallen,,https://www.dwds.de/wb/etymwb/eingefallen
fürsehen,,https://www.dwds.de/wb/etymwb/fürsehen
anbitten,,https://www.dwds.de/wb/etymwb/anbitten
umgeben,gëben,https://www.dwds.de/wb/etymwb/umgeben
siegen,sîgen,https://www.dwds.de/wb/etymwb/siegen
lesen,lièsen; lësen,https://www.dwds.de/wb/etymwb/lesen
abreiten,,https://www.dwds.de/wb/etymwb/abreiten
leihen,lîhen,https://www.dwds.de/wb/etymwb/leihen
gelten,gëlten,https://www.dwds.de/wb/etymwb/gelten
abschlagen,slâhen,https://www.dwds.de/wb/etymwb/abschlagen
reiten,rîten,https://www.dwds.de/wb/etymwb/reiten
bezahlen,zëmen,https://www.dwds.de/wb/etymwb/bezahlen
streichen,strîchen,https://www.dwds.de/wb/etymwb/streichen
wägen,wëgen,https://www.dwds.de/wb/etymwb/wägen
einnehmen,,https://www.dwds.de/wb/etymwb/einnehmen
ausreiten,,https://www.dwds.de/wb/etymwb/ausreiten
wiederreiten,,https://www.dwds.de/wb/etymwb/wiederreiten
legen,ligen,https://www.dwds.de/wb/etymwb/legen
enpfehlen,,https://www.dwds.de/wb/etymwb/enpfehlen
ausnehmen,,https://www.dwds.de/wb/etymwb/ausnehmen
wi(e)dergeben,,https://www.dwds.de/wb/etymwb/wi(e)dergeben
nennen,nēmen,https://www.dwds.de/wb/etymwb/nennen
verkaufen,,https://www.dwds.de/wb/etymwb/verkaufen
helfen,hëlfen,https://www.dwds.de/wb/etymwb/helfen
abgehen,gân,https://www.dwds.de/wb/etymwb/abgehen
bergen,bërgen,https://www.dwds.de/wb/etymwb/bergen
ankommen,kommen; kîmen,https://www.dwds.de/wb/etymwb/ankommen
abziehen,zîhen,https://www.dwds.de/wb/etymwb/abziehen
senden,s i n n e n,https://www.dwds.de/wb/etymwb/senden
einbringen,,https://www.dwds.de/wb/etymwb/einbringen
ausgeben,gëben,https://www.dwds.de/wb/etymwb/ausgeben
ausziehen,zîhen,https://www.dwds.de/wb/etymwb/ausziehen
widerstehen,,https://www.dwds.de/wb/etymwb/widerstehen
rufen,ruofen,https://www.dwds.de/wb/etymwb/rufen
empfangen,enphâhen; enphallen,https://www.dwds.de/wb/etymwb/empfangen
empfahen,,https://www.dwds.de/wb/etymwb/empfahen
vergessen,vrèischen,https://www.dwds.de/wb/etymwb/vergessen
durren,,https://www.dwds.de/wb/etymwb/durren
zukommen,komen,https://www.dwds.de/wb/etymwb/zukommen
verdammen,d i n g e n,https://www.dwds.de/wb/etymwb/verdammen
wi(e)derfahren,,https://www.dwds.de/wb/etymwb/wi(e)derfahren
waschen,waschen,https://www.dwds.de/wb/etymwb/waschen
heilen,hëlen,https://www.dwds.de/wb/etymwb/heilen
ledigen,,https://www.dwds.de/wb/etymwb/ledigen
verhängen,,https://www.dwds.de/wb/etymwb/verhängen
brinnen,,https://www.dwds.de/wb/etymwb/brinnen
scheiden,schèiden,https://www.dwds.de/wb/etymwb/scheiden
erwerben,wërben,https://www.dwds.de/wb/etymwb/erwerben
entbinden,binden,https://www.dwds.de/wb/etymwb/entbinden
anrufen,,https://www.dwds.de/wb/etymwb/anrufen
unterwinden,,https://www.dwds.de/wb/etymwb/unterwinden
entsprossen,,https://www.dwds.de/wb/etymwb/entsprossen
entpfangen,,https://www.dwds.de/wb/etymwb/entpfangen
verleihen,lîhen,https://www.dwds.de/wb/etymwb/verleihen
fürchten,vrîten; vrèischen,https://www.dwds.de/wb/etymwb/fürchten
üben,wëben,https://www.dwds.de/wb/etymwb/üben
stärken,stërzen,https://www.dwds.de/wb/etymwb/stärken
anfechten,vëhten,https://www.dwds.de/wb/etymwb/anfechten
verbleichen,blîchen,https://www.dwds.de/wb/etymwb/verbleichen
wi(e)derkommen,,https://www.dwds.de/wb/etymwb/wi(e)derkommen
stellen,stëlen,https://www.dwds.de/wb/etymwb/stellen
betrügen,bieten,https://www.dwds.de/wb/etymwb/betrügen
übergieszen,,https://www.dwds.de/wb/etymwb/übergieszen
verweisen,wîzen,https://www.dwds.de/wb/etymwb/verweisen
getrauen,,https://www.dwds.de/wb/etymwb/getrauen
bescheiden,schîden,https://www.dwds.de/wb/etymwb/bescheiden
vergieszen,,https://www.dwds.de/wb/etymwb/vergieszen
befehlen,bieten,https://www.dwds.de/wb/etymwb/befehlen
antragen,tragen,https://www.dwds.de/wb/etymwb/antragen
lügen,ligen[!,https://www.dwds.de/wb/etymwb/lügen
vergeben,"[""gëben""",https://www.dwds.de/wb/etymwb/vergeben
angehen,"[""gân""; ""gên""",https://www.dwds.de/wb/etymwb/angehen
wähnen,wahen,https://www.dwds.de/wb/etymwb/wähnen
annehmen,,https://www.dwds.de/wb/etymwb/annehmen
überheben,,https://www.dwds.de/wb/etymwb/überheben
verwerfen,wërfen,https://www.dwds.de/wb/etymwb/verwerfen
zeihen,zîhen; zièhen,https://www.dwds.de/wb/etymwb/zeihen
bezwingen,dwingen; twingen,https://www.dwds.de/wb/etymwb/bezwingen
erdenken,,https://www.dwds.de/wb/etymwb/erdenken
vermeiden,mîden,https://www.dwds.de/wb/etymwb/vermeiden
beweisen,wîzen; wîsen,https://www.dwds.de/wb/etymwb/beweisen
bestehen,binten,https://www.dwds.de/wb/etymwb/bestehen
vermögen,mugen; mügen,https://www.dwds.de/wb/etymwb/vermögen
beharren,,https://www.dwds.de/wb/etymwb/beharren
abnehmen,,https://www.dwds.de/wb/etymwb/abnehmen
kaufen,,https://www.dwds.de/wb/etymwb/kaufen
mahlen,malen,https://www.dwds.de/wb/etymwb/mahlen
anheben,,https://www.dwds.de/wb/etymwb/anheben
ausbringen,,https://www.dwds.de/wb/etymwb/ausbringen
auffliegen,,https://www.dwds.de/wb/etymwb/auffliegen
gestehen,,https://www.dwds.de/wb/etymwb/gestehen
überbleiben,,https://www.dwds.de/wb/etymwb/überbleiben
wiegen,wîgen; wigen,https://www.dwds.de/wb/etymwb/wiegen
rinnen,rinnen; rînen,https://www.dwds.de/wb/etymwb/rinnen
fragen,,https://www.dwds.de/wb/etymwb/fragen
treffen,trëffen,https://www.dwds.de/wb/etymwb/treffen
suchen,,https://www.dwds.de/wb/etymwb/suchen
anfahen,,https://www.dwds.de/wb/etymwb/anfahen
warten,walten,https://www.dwds.de/wb/etymwb/warten
zugeben,gëben,https://www.dwds.de/wb/etymwb/zugeben
bieten,bièten; biten,https://www.dwds.de/wb/etymwb/bieten
bessern,,https://www.dwds.de/wb/etymwb/bessern
unterweisen,wîsen,https://www.dwds.de/wb/etymwb/unterweisen
hören,,https://www.dwds.de/wb/etymwb/hören
riechen,rièchen; rîchen,https://www.dwds.de/wb/etymwb/riechen
schmecken,smiègen,https://www.dwds.de/wb/etymwb/schmecken
greifen,grîfen,https://www.dwds.de/wb/etymwb/greifen
gebrauchen,b r i u w e n,https://www.dwds.de/wb/etymwb/gebrauchen
verbringen,,https://www.dwds.de/wb/etymwb/verbringen
stehlen,stëlen,https://www.dwds.de/wb/etymwb/stehlen
verschweigen,swîgen,https://www.dwds.de/wb/etymwb/verschweigen
betriegen,,https://www.dwds.de/wb/etymwb/betriegen
anbeiszen,,https://www.dwds.de/wb/etymwb/anbeiszen
raten,râten,https://www.dwds.de/wb/etymwb/raten
strafen,"[""strîten""",https://www.dwds.de/wb/etymwb/strafen
übergeben,gëben,https://www.dwds.de/wb/etymwb/übergeben
nachtragen,,https://www.dwds.de/wb/etymwb/nachtragen
neiden,mîden; nîden,https://www.dwds.de/wb/etymwb/neiden
hassen,hâhen; hêzen,https://www.dwds.de/wb/etymwb/hassen
fordern,binten,https://www.dwds.de/wb/etymwb/fordern
hoffen,hopen,https://www.dwds.de/wb/etymwb/hoffen
trösten,schrôten,https://www.dwds.de/wb/etymwb/trösten
verhalten,halten,https://www.dwds.de/wb/etymwb/verhalten
dienen,,https://www.dwds.de/wb/etymwb/dienen
weisen,wîsen,https://www.dwds.de/wb/etymwb/weisen
herrschen,hèischen,https://www.dwds.de/wb/etymwb/herrschen
heben,hèben,https://www.dwds.de/wb/etymwb/heben
aufstehen,stên,https://www.dwds.de/wb/etymwb/aufstehen
klagen,,https://www.dwds.de/wb/etymwb/klagen
fürtragen,,https://www.dwds.de/wb/etymwb/fürtragen
schelten,schëlten; schëlen,https://www.dwds.de/wb/etymwb/schelten
schwören,swèren; swëren,https://www.dwds.de/wb/etymwb/schwören
schweigen,swîgen,https://www.dwds.de/wb/etymwb/schweigen
zuschreiben,schrîben,https://www.dwds.de/wb/etymwb/zuschreiben
nachgehen,,https://www.dwds.de/wb/etymwb/nachgehen
stinken,stinken,https://www.dwds.de/wb/etymwb/stinken
rächen,rëchen,https://www.dwds.de/wb/etymwb/rächen
niederwerfen,,https://www.dwds.de/wb/etymwb/niederwerfen
versuchen,sachen,https://www.dwds.de/wb/etymwb/versuchen
schaffen,schaffen,https://www.dwds.de/wb/etymwb/schaffen
wünschen,wîchen,https://www.dwds.de/wb/etymwb/wünschen
beschehen,,https://www.dwds.de/wb/etymwb/beschehen
gedenken,ginnen,https://www.dwds.de/wb/etymwb/gedenken
überlesen,,https://www.dwds.de/wb/etymwb/überlesen
zweifeln,twëlen,https://www.dwds.de/wb/etymwb/zweifeln
anziehen,zîhen,https://www.dwds.de/wb/etymwb/anziehen
wohnen,wîgen,https://www.dwds.de/wb/etymwb/wohnen
hängen,"[""hâhen""",https://www.dwds.de/wb/etymwb/hängen
jehen,,https://www.dwds.de/wb/etymwb/jehen
begehen,biègen,https://www.dwds.de/wb/etymwb/begehen
erschrecken,schrëcken,https://www.dwds.de/wb/etymwb/erschrecken
verstoszen,,https://www.dwds.de/wb/etymwb/verstoszen
gereuen,,https://www.dwds.de/wb/etymwb/gereuen
abbrechen,,https://www.dwds.de/wb/etymwb/abbrechen
aufnehmen,,https://www.dwds.de/wb/etymwb/aufnehmen
dünken,dingsen,https://www.dwds.de/wb/etymwb/dünken
hingeben,gëben,https://www.dwds.de/wb/etymwb/hingeben
vorlesen,,https://www.dwds.de/wb/etymwb/vorlesen
erfahren,varen,https://www.dwds.de/wb/etymwb/erfahren
beschweren,swären,https://www.dwds.de/wb/etymwb/beschweren
überfinden,,https://www.dwds.de/wb/etymwb/überfinden
geturren,,https://www.dwds.de/wb/etymwb/geturren
aufstoszen,,https://www.dwds.de/wb/etymwb/aufstoszen
anthun,,https://www.dwds.de/wb/etymwb/anthun
sinken,sinken,https://www.dwds.de/wb/etymwb/sinken
treten,trëten,https://www.dwds.de/wb/etymwb/treten
ablassen,lâzen,https://www.dwds.de/wb/etymwb/ablassen
umziehen,zîhen,https://www.dwds.de/wb/etymwb/umziehen
ausfahren,,https://www.dwds.de/wb/etymwb/ausfahren
hinfahren,,https://www.dwds.de/wb/etymwb/hinfahren
aufthun,,https://www.dwds.de/wb/etymwb/aufthun
beistehen,binten,https://www.dwds.de/wb/etymwb/beistehen
beschreiben,schrîben,https://www.dwds.de/wb/etymwb/beschreiben
zergehn,,https://www.dwds.de/wb/etymwb/zergehn
verscheiden,schîden,https://www.dwds.de/wb/etymwb/verscheiden
bedenken,biten; bieten,https://www.dwds.de/wb/etymwb/bedenken
zufallen,vallen,https://www.dwds.de/wb/etymwb/zufallen
